Height (inches),Weight (lbs),Position
77,305,DE
72,210,DB
74,190,CB
74,208,CB
72,212,FS
74,256,DE
72,195,CB
77,300,DT
74,300,DE
77,250,DE
71,195,CB
77,251,DE
69,195,DB
75,309,DT
74,210,DB
74,208,DB
71,196,CB
76,318,DT
71,190,CB
71,207,DB
74,334,NT
73,211,DB
78,251,DE
75,359,DT
70,191,DB
73,290,DT
75,305,NT
78,267,DE
75,306,DT
76,290,DT
74,205,DB
73,252,DT
76,312,DT
73,221,FS
76,270,DE
74,203,CB
74,193,CB
74,250,DE
70,195,FS
76,310,DT
73,190,CB
73,212,DB
71,202,DB
73,205,CB
71,180,DB
73,340,NT
72,182,FS
75,249,DE
70,174,CB
74,320,NT
73,350,NT
74,314,DT
69,185,DB
77,270,DE
75,315,DT
74,309,NT
76,300,DT
72,189,CB
73,200,CB
73,205,DB
76,300,DE
71,185,DB
73,206,DB
72,310,DE
73,298,DE
70,204,CB
73,307,DT
70,190,CB
73,214,FS
77,310,DE
74,272,DE
72,212,CB
73,210,DB
70,185,CB
75,310,DT
73,185,CB
74,310,NT
74,195,DB
78,290,DE
72,198,DB
74,260,DE
79,364,DT
76,308,DT
70,198,CB
78,272,DE
73,206,FS
77,280,DE
72,199,CB
73,218,FS
72,200,DB
71,190,DB
72,190,DB
74,305,DT
70,177,CB
74,300,DT
75,234,DE
71,192,DB
69,186,FS
73,200,DB
77,327,DE
76,287,DE
74,315,DT
69,176,CB
71,194,DB
73,262,DE
76,325,DT
71,181,CB
78,282,DE
80,300,DT
73,212,DB
74,300,DT
71,191,DB
73,311,NT
74,271,DE
74,220,DB
73,213,CB
75,265,DE
71,203,DB
71,185,CB
73,210,DB
73,210,DB
72,220,DB
75,311,DT
74,192,DB
72,181,DB
69,191,CB
73,218,CB
70,188,CB
70,197,CB
75,269,DE
73,200,DB
72,200,CB
67,175,DB
75,269,DE
71,189,CB
71,195,DB
71,192,DB
69,179,CB
73,311,NT
72,219,CB
74,253,DE
75,273,DE
70,200,CB
70,190,DB
72,310,DT
73,198,DB
78,303,DE
77,297,DE
75,225,DB
74,206,CB
75,278,DE
75,240,DE
71,192,DB
78,284,DE
76,300,DT
78,305,DE
77,300,DT
72,195,DB
74,214,FS
75,220,CB
71,170,DB
76,332,DE
71,200,CB
72,171,CB
72,190,CB
74,205,DB
76,264,DE
76,279,DT
71,207,DB
76,253,DE
76,265,DE
78,280,DE
70,205,FS
78,280,DE
73,194,DB
71,195,DB
70,179,DB
75,317,DT
70,161,DB
75,209,DB
79,352,NT
73,295,DT
72,191,CB
71,190,CB
70,188,FS
72,185,CB
76,285,DE
71,203,DB
76,275,DE
77,264,DE
74,265,DE
73,193,DB
73,300,DT
71,200,CB
75,270,DE
81,195,DB
72,210,DB
71,215,DB
75,300,DT
75,269,DE
72,182,CB
71,176,DB
70,182,DB
73,303,DE
74,185,CB
74,289,DT
71,198,CB
76,345,DT
69,184,CB
70,190,CB
73,305,NT
70,190,DB
71,195,CB
72,206,FS
72,199,FS
75,332,DT
77,318,DE
72,206,CB
70,200,DB
72,190,CB
71,180,DB
75,253,DE
75,292,DT
75,310,DT
70,189,DB
71,193,CB
71,200,DB
74,280,DE
74,204,CB
76,274,DE
72,190,CB
72,212,DB
69,190,CB
72,192,CB
77,252,DE
74,194,DB
75,291,DE
72,321,DT
75,225,DB
77,250,DE
79,272,DE
73,298,DE
72,189,CB
72,204,DB
72,209,DB
74,265,DE
73,256,DE
72,161,DB
76,265,DE
74,290,DE
77,271,DT
73,295,DT
73,203,CB
70,185,CB
72,188,CB
72,185,DB
71,179,CB
70,182,FS
78,272,DE
74,200,CB
73,200,CB
73,333,NT
77,284,DE
72,202,CB
71,187,CB
70,187,CB
75,310,DT
73,300,DE
74,300,DT
72,201,CB
76,309,DT
71,190,CB
74,206,DB
72,200,DB
73,189,CB
70,175,CB
76,325,DT
71,192,CB
74,320,DE
74,309,DT
75,310,DT
75,259,DE
78,273,DE
71,211,DB
70,202,CB
72,174,DB
74,275,DE
75,311,DT
77,275,DE
72,305,DT
75,288,DE
75,291,DE
73,205,CB
72,191,CB
74,185,DB
70,190,DB
70,195,FS
72,170,CB
74,201,CB
74,240,DE
77,288,DE
75,335,DE
75,346,NT
71,194,CB
70,195,FS
73,196,DB
75,296,DT
72,185,CB
71,192,DB
78,325,DE
78,297,DE
75,290,DE
74,170,CB
74,210,CB
77,280,DT
75,254,DE
73,213,FS
73,205,DB
73,192,FS
77,263,DE
75,270,DT
75,310,DT
72,201,CB
78,270,DE
76,320,NT
73,200,CB
73,221,FS
75,304,DE
73,328,DT
75,255,DE
74,282,DT
76,285,DE
71,185,CB
76,315,DE
72,174,DB
72,190,CB
76,300,DE
76,267,DE
76,267,DE
74,214,DB
73,270,DE
72,181,DB
74,194,CB
72,186,CB
71,202,FS
71,198,DB
75,290,DE
72,195,DB
74,293,DT
75,310,DT
75,284,DE
76,281,DE
78,276,DT
69,187,CB
71,189,CB
71,192,DB
74,176,CB
75,280,DE
77,265,DE
75,220,CB
74,212,CB
69,185,CB
74,220,FS
74,210,DB
70,181,DB
75,269,DT
71,193,CB
72,197,CB
73,305,DE
78,265,DE
73,218,DB
74,205,DB
69,178,CB
72,191,FS
72,200,CB
72,210,DB
73,207,FS
69,195,DB
73,220,DB
78,350,DE
71,184,DB
74,335,NT
71,189,CB
71,212,FS
79,280,DE
74,225,DB
76,255,DE
73,265,DT
75,320,DT
76,322,DE
72,209,DB
76,299,DT
73,196,DB
77,302,DE
72,194,CB
75,275,DE
75,190,CB
75,308,DT
72,200,DB
73,310,DT
75,220,CB
77,270,DE
78,296,DE
76,305,DE
71,200,DB
70,189,CB
75,245,DE
72,194,FS
75,260,DE
71,193,CB
69,158,DB
79,300,DE
72,200,DB
73,200,DB
69,212,FS
72,214,FS
72,207,FS
77,295,DT
77,320,DT
78,275,DE
75,310,DE
71,182,CB
71,198,DB
77,265,DE
75,259,DE
72,195,CB
73,320,DT
73,200,DB
75,210,DB
72,181,CB
74,330,DT
71,185,CB
74,303,DT
77,344,DT
78,282,DE
71,200,DB
69,186,FS
75,304,DT
74,308,DT
76,280,DE
75,270,DE
74,251,DE
73,203,DB
76,270,DT
73,205,DB
76,300,DT
73,205,CB
71,212,DB
70,195,DB
75,331,NT
73,181,DB
77,297,DE
74,313,DT
74,315,DT
74,190,CB
73,180,CB
70,196,DB
76,315,DE
71,199,CB
76,269,NT
74,297,DT
75,299,DT
76,295,DE
77,285,DE
70,196,CB
73,210,CB
75,300,DT
70,188,DB
76,305,DT
78,281,DE
72,178,DB
75,269,DT
72,205,FS
75,270,DE
72,190,CB
70,200,DB
71,210,DB
71,187,CB
71,214,FS
79,292,DE
75,294,DE
72,202,DB
72,339,DE
77,300,DT
74,295,DT
72,189,CB
70,193,CB
77,271,DE
73,174,DB
75,225,DB
72,184,CB
76,273,DE
75,320,DT
73,195,CB
72,193,DB
74,190,DB
72,185,CB
71,190,CB
71,190,DB
75,318,DT
73,218,DB
72,196,CB
71,195,DB
70,188,CB
71,210,DB
75,335,DT
78,275,DE
70,200,DB
73,213,FS
72,195,CB
72,191,CB
75,192,CB
70,188,CB
73,296,DT
74,208,DB
73,194,DB
74,275,DE
75,310,DT
73,205,CB
71,178,DB
72,214,DB
71,183,CB
71,190,DB
76,276,DE
70,207,CB
72,188,DB
76,261,DE
73,209,DB
75,260,DE
76,350,DT
74,320,DT
75,215,CB
72,197,CB
77,275,DE
75,305,DT
71,194,CB
75,260,DE
78,276,DE
75,313,DT
77,314,DT
71,187,DB
77,246,DE
71,190,CB
71,213,DB
73,317,DT
72,193,DB
73,294,DE
69,185,DB
76,331,DB
71,196,CB
75,273,DE
77,275,DE
76,314,NT
73,205,FS
75,303,NT
75,312,DT
70,190,CB
72,210,DB
70,193,CB
70,199,CB
71,210,FS
72,200,CB
71,176,DB
75,211,FS
74,282,DE
77,290,DE
71,196,CB
76,329,DT
71,185,CB
75,263,DE
72,205,DB
72,297,DT
73,170,DB
69,205,DB
78,335,DT
71,190,DB
72,193,CB
72,195,DB
76,275,DE
74,314,NT
75,278,DE
72,186,CB
69,174,CB
71,200,CB
76,276,DE
71,210,DB
71,203,DB
75,195,CB
75,247,DE
72,194,DB
76,309,DT
73,183,DB
78,239,DE
75,237,DE
72,191,CB
78,245,DE
75,288,DT
77,295,DT
72,195,DB
70,200,CB
74,305,DE
75,315,DT
76,265,DE
75,325,NT
72,203,CB
75,260,DE
75,270,DE
75,246,DE
74,190,DB
76,300,DE
71,192,CB
75,315,DT
72,203,FS
79,265,DE
76,322,DE
69,177,CB
76,291,DT
76,285,DE
70,185,CB
75,296,DE
76,240,DE
70,200,CB
74,205,DB
73,198,DB
73,177,CB
73,295,DT
73,193,CB
74,315,DT
75,230,DE
76,287,DE
73,220,FS
69,200,CB
74,325,DT
70,202,FS
72,190,CB
76,284,DE
69,213,CB
76,292,DE
78,280,DE
72,198,CB
74,307,DT
75,299,DT
74,305,DT
71,191,CB
79,275,DE
70,190,CB
71,192,CB
77,293,DT
77,330,DT
74,210,DB
75,268,DE
76,284,DE
73,292,DT
73,198,CB
75,300,DT
71,200,CB
68,184,CB
76,310,DT
71,190,DB
76,265,DE
71,179,DB
76,306,DT
72,200,DB
71,197,CB
75,312,DT
75,340,DT
75,308,DE
75,310,DT
77,302,NT
74,175,CB
74,205,FS
72,209,DB
76,282,DT
74,302,DT
69,184,DB
72,200,CB
71,199,CB
70,188,DB
70,183,CB
71,210,FS
72,191,DB
75,289,DT
71,184,DB
77,336,DE
75,286,DE
70,185,CB
78,280,DE
74,246,DE
75,320,DT
73,315,DE
71,193,CB
75,259,DE
73,208,FS
75,194,CB
70,200,FS
71,200,CB
72,212,CB
76,250,DE
75,327,DT
72,185,CB
72,205,CB
75,276,DE
77,245,DE
72,330,DT
74,275,DE
71,190,DB
74,298,DT
76,299,DE
74,275,DE
75,263,DE
75,240,DE
74,320,DT
79,275,DE
75,319,NT
73,192,CB
75,215,DB
71,170,DB
70,183,DB
73,208,DB
76,309,DT
76,275,DE
69,177,CB
73,305,NT
73,182,DB
75,280,DE
74,335,DT
74,188,CB
74,240,DE
72,197,CB
72,210,DB
75,291,DT
72,183,DB
77,303,DT
72,194,DB
70,187,DB
70,195,CB
75,301,DT
75,325,DT
75,279,DE
75,251,DE
72,195,CB
77,295,DE
70,174,CB
71,185,DB
74,217,DB
74,315,DT
73,209,DB
75,250,DE
70,192,DB
77,265,DE
78,285,DE
69,190,DB
71,190,CB
77,245,DE
78,318,DT
74,250,DE
74,201,CB
75,230,DB
70,180,CB
70,192,CB
75,315,DT
71,192,CB
71,190,CB
69,185,DB
69,192,CB
72,200,DB
77,295,DE
69,198,DB
73,205,DB
79,300,DE
69,183,DB
70,200,FS
71,192,CB
74,305,DT
71,190,DB
71,200,CB
75,308,DT
73,211,CB
74,200,DB
74,311,DT
73,208,FS
75,275,DE
77,341,DT
75,280,DE
74,293,NT
73,265,DT
74,192,DB
75,260,DE
74,295,DT
71,196,DB
76,270,DE
78,281,DE
77,271,DE
70,202,FS
73,205,DB
73,210,FS
74,265,DE
71,183,CB
74,285,DT
70,186,CB
74,265,DE
72,198,CB
73,196,CB
71,195,FS
74,310,DT
72,205,DB
68,165,DB
77,326,DT
77,310,DT
76,225,FS
77,305,DE
77,265,DE
77,278,DE
73,307,DT
73,203,FS
74,270,DE
75,333,NT
75,256,DE
77,315,DT
78,310,DE
73,300,DT
74,270,DE
71,207,CB
76,268,DE
74,185,CB
70,182,CB
75,315,DT
76,303,DT
73,199,CB
71,212,FS
76,347,DT
78,300,DE
73,203,CB
76,350,DT
73,205,CB
72,190,CB
72,198,DB
79,273,DT
71,196,DB
70,200,DB
72,174,DB
71,185,DB
73,205,DB
73,212,DB
71,190,CB
76,287,DT
73,203,CB
70,195,CB
74,245,DT
73,285,DT
72,205,DB
75,270,DE
73,285,DT
75,301,DT
69,194,DB
75,213,DB
77,284,DT
72,255,DE
74,298,DT
70,190,DB
76,307,NT
76,318,NT
77,300,DE
78,270,DE
74,225,DE
71,193,FS
70,179,CB
72,200,DB
74,196,CB
77,260,DE
72,200,DB
72,210,DB
70,180,DB
73,284,DT
76,291,DT
75,269,DT
75,280,DE
80,295,DE
75,311,DT
75,305,NT
74,193,CB
72,195,DB
76,249,DE
73,205,FS
73,188,CB
79,287,DE
